X,Y,Cluster
-122.407877787733,37.785968007677496,0
-122.443597047511,37.7826435280939,0
-122.400473580152,37.7850290611875,0
-122.419697721691,37.7773009526003,0
-122.451487621201,37.7675163302514,0
-122.412597377187,37.783932027727296,0
-122.424641091359,37.7727894803653,0
-122.481353356072,37.7203992902294,0
-122.421972783252,37.775998080669495,0
-122.445238867648,37.7869774248844,0
-122.414933495731,37.79125515439979,0
-122.403816989822,37.7186430050308,0
-122.410739026831,37.7157395938027,0
-122.461163238283,37.7191248815986,0
-122.396251395987,37.7852582857699,0
-122.509399613079,37.764029830097,0
-122.418711104991,37.7807726314915,0
-122.39917586353998,37.7922774162948,0
-122.390689582557,37.735217228007706,0
-122.420529801066,37.7110023300609,0
-122.397251222589,37.7789803526172,0
-122.485424200821,37.782054398286704,0
-122.408973544798,37.803387055377705,0
-122.409529913278,37.7657184395282,0
-122.404903343063,37.7279456314778,0
-122.410870700008,37.7375262998312,0
-122.414714295586,37.7762310404529,0
-122.404126459271,37.7614652487171,0
-122.436340530766,37.79703639636929,0
-122.476031718561,37.7486451165898,0
-122.403846827146,37.7423278356202,0
-122.41443315507,37.7846576329026,0
-122.42511061323098,37.80414615262,0
-122.402116556292,37.7332354676556,0
-122.403404791479,37.775420706711,0
-122.417975390351,37.7737509379648,0
-122.392667454728,37.789940419910295,0
-122.470322318777,37.7827315132733,0
-122.399841045579,37.77563278642821,0
-122.41793840790702,37.77054137692421,0
-122.44318148994,37.7337779831808,0
-122.374019331833,37.729203356539,0
-122.408433097286,37.7967039278443,0
-122.402517136292,37.77367244915771,0
-122.411339562557,37.7812707434494,0
-122.508332775633,37.7631120134877,0
-122.396528521452,37.7517298311377,0
-122.390965298144,37.7344291807899,0
-122.409853729941,37.7833862379382,0
-122.40989282029,37.7801134973164,0
-122.414354301151,37.8031089840376,0
-122.411965795229,37.78491418595621,0
-122.421797245093,37.7681088832674,0
-122.413564091744,37.779514030063,0
-122.440879521853,37.77753219352179,0
-122.403404791479,37.775420706711,0
-122.473686708538,37.7440566035115,0
-122.41753069698,37.78331075399689,0
-122.428118045606,37.7645957855295,0
-122.403404791479,37.775420706711,0
-122.414406029855,37.7841907151119,0
-122.476684519586,37.7579683424839,0
-122.407633520742,37.7841893501425,0
-122.426726019084,37.7239973136765,0
-122.425225538054,37.7756912449511,0
-122.385545453301,37.728979731984,0
-122.40316136589,37.7836909533775,0
-122.403404791479,37.775420706711,0
-122.412223978237,37.736395364488295,0
